Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status
01-05-2023,2022,ENB,Enbridge Inc,"Aitken Creek natural gas storage facility/British Columbia,Aitken Creek North gas storage facility/British Columbia",Fortis Inc/Canada,295.56,,20-04-2023,35.47,11-05-2023,35.57,77669,0.27,7717086.429,Completed
28-04-2023,2022,TRP,TC Energy Corp,155 MW Fluvanna Wind Farm/Scurry County,,99,,17-04-2023,38.1,08-05-2023,37.74,38846.83,0.84,21133585.11,Completed
27-04-2023,2022,SU,Suncor Energy Inc,TotalEnergies EP Canada Ltd,TotalEnergies SE,1078.1,,14-04-2023,30.42,08-05-2023,27.99,35076.59,0.91,16817507.15,Completed
20-04-2023,2022,WULF,Terawulf Inc,Nautilus Cryptomine facility,Cumulus Coin LLC,,,06-04-2023,1,01-05-2023,1.67,551.85,-5.6,49.204,Completed
12-04-2023,2022,WHD,Cactus Inc,Flexsteel Pipeline Technologies Inc,,,,31-03-2023,40.51,24-04-2023,42.32,2884.36,2.68,8664.043,Completed
11-04-2023,2022,D,Dominion Energy Inc,108 MWdc Foxhound Solar project/Longroad Energy Holdings LLC,Longroad Energy Holdings LLC,,,31-03-2023,50.44,21-04-2023,52.06,44645.37,-0.07,16875266.4,Completed
10-04-2023,2022,LBRT,Liberty Energy Inc,Siren Energy LLC,,75.7,,30-03-2023,12.28,20-04-2023,13.02,2123.15,1.57,1995196,Completed
03-04-2023,2022,OVV,Ovintiv Inc,"PetroLegacy Energy I LLC,Piedra Resources LLC,Black Swan Oil & Gas LLC",EnCap Investments LP,4321.93,,23-03-2023,32.56,13-04-2023,36.84,10012.81,-0.31,2871927.309,Completed
29-03-2023,2022,ADHI,Arsenal Digital Holdings Inc,Blackrock Midstream LLC,,,,17-03-2023,0.12,10-04-2023,0.22,2.11,-46.23,17591.525,Completed
28-03-2023,2022,VRN,Veren Inc,Spartans oil & liquids-rich Montney assets/Spartan Delta Corp,Spartan Delta Corp,1249.5,,17-03-2023,5.41,10-04-2023,7.02,3780.65,1.25,719333,Completed
27-03-2023,2022,ET,Energy Transfer LP,Lotus Midstream LLC,Encap Flatrock Midstream,1454.18,,16-03-2023,10.35,06-04-2023,10.57,34315.01,0.86,16765.405,Completed
27-03-2023,2022,WGO,Winnebago Industries Inc,Lithionics Battery LLC,,,,16-03-2023,55.02,06-04-2023,53.1,1524.26,-0.23,7392.8665,Completed
24-03-2023,2022,SPRU,Spruce Power Holding Corp,SS Holdings 2017 LLC,,,,13-03-2023,6.11,03-04-2023,6.64,124.86,-6.63,108.615,Completed
08-03-2023,2022,KLXE,KLX Energy Services Holdings Inc,Greene's Energy Group LLC,Denham Capital Management LP,,,24-02-2023,12.63,20-03-2023,11.91,228.79,-1.68,12508.743,Completed
06-03-2023,2022,VST,Vistra Corp,Energy Harbor Corp,,6763,,23-02-2023,21.66,16-03-2023,24.4,7985.75,4.98,31607742.71,Completed
