Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales (Million $),Acquirer_GHG_Emissions (Metric Tonnes),Carbon_Intensity,Acquirer_Classification,Target Name,Target_Classification,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_3_Date,T_minus_3_Price ($),T_plus_3_Date,T_plus_3_Price ($),Percent_Return,Deal Status,Benchmark_Return,Abnormal_Return,Weighted_Abnormal_Return,Weight,Log_Carbon_Intensity
2022-04-19,2021,ALE,ALLETE Inc,1419.200000,2599166.900000,8639.069400,Brown,New Energy Equity,Green,,165.500000,,2022-04-14,55.380000,2022-04-22,55.240000,-0.240000,Completed,-4.259323,4.019323,0.001918,0.000477,9.064166
2022-03-15,2021,ENPH,Enphase Energy Inc,1382.050000,12095.160000,35.471900,Brown,SolarLeadFactory LLC,Green,,,,2022-03-11,171.070000,2022-03-18,184.520000,7.860000,Completed,-4.634062,12.494062,0.005807,0.000465,3.596542
2022-03-03,2021,ALE,ALLETE Inc,1419.200000,2599166.900000,8639.069400,Brown,NEW Energy Equity LLC,Green,"Unknown Seller,SmartPitch Ventures LLC",165.500000,,2022-02-25,54.620000,2022-03-07,56.910000,4.190000,Completed,13.753516,-9.563516,-0.004564,0.000477,9.064166
2022-02-28,2021,CVX,Chevron Corp,155606.000000,28582001.820000,478.933800,Brown,Renewable Energy Group Inc,Green,,2769.660000,8.870000,2022-02-24,120.000000,2022-03-03,139.010000,15.850000,Completed,8.101719,7.748281,0.405458,0.052329,6.173648
2021-12-14,2020,GTLS,Chart Industries Inc,1177.100000,17380.000000,35.586600,Brown,Earthly Labs Inc,Green,,62.000000,,2021-12-10,165.190000,2021-12-17,156.870000,-5.040000,Completed,-4.311857,-0.728143,-0.000288,0.000396,3.599682
2021-12-13,2020,WTTR,Select Water Solutions Inc,605.100000,33176.650000,93.800900,Brown,Nuverra Environmental Solutions Inc,Green,,56.340000,,2021-12-09,6.020000,2021-12-16,5.590000,-7.170000,Completed,-3.073696,-4.096304,-0.000834,0.000203,4.551779
2021-12-13,2020,TXNM,TXNM Energy Inc,1523.010000,5602062.230000,4989.812000,Brown,Western Spirit transmission line,Green,,,,2021-12-09,40.270000,2021-12-16,40.400000,0.330000,Completed,-3.073696,3.403696,0.001743,0.000512,8.515354
2021-11-30,2020,GCMG,GCM Grosvenor Inc,422.400000,173.880000,0.411700,Green,Resource Waste Services LLC,Green,ReEnergy Holdings LLC,,,2021-11-26,9.710000,2021-12-03,9.340000,-3.800000,Completed,-4.783280,0.983280,0.000140,0.000142,0.344795
2021-11-16,2020,ENPH,Enphase Energy Inc,774.420000,26385.260000,35.471900,Brown,ClipperCreek Inc,Green,,,,2021-11-12,251.620000,2021-11-19,267.740000,6.410000,Completed,-5.234895,11.644895,0.003033,0.000260,3.596542
2021-11-09,2020,ADT,ADT Inc,5314.790000,35816.070000,6.738900,Green,Marc Jones Construction LLC,Green,Compass Group Equity Partners LLC,824.490000,,2021-11-05,8.320000,2021-11-12,8.380000,0.660000,Completed,0.069544,0.590456,0.001055,0.001787,2.046260
2021-10-22,2020,XIFR,XPLR Infrastructure LP,917.000000,48471.850000,5.287000,Green,Portfolio of 2520 MW renewables projects,Green,NextEra Energy Inc,849.000000,,2021-10-18,60.090000,2021-10-25,64.380000,7.140000,Completed,2.564106,4.575894,0.001411,0.000308,1.838484
2021-10-06,2020,ARES,Ares Management Corp,2235.770000,714.720000,0.445300,Green,Apex Clean Energy Inc,Green,,,,2021-10-01,66.870000,2021-10-11,68.720000,2.770000,Completed,8.197359,-5.427359,-0.004081,0.000752,0.368317
2021-09-02,2020,PWR,Quanta Services Inc,11202.670000,233082.180000,25.638900,Brown,Blattner Holding Co,Green,,2700.000000,,2021-08-27,102.690000,2021-09-07,114.520000,11.520000,Completed,0.624629,10.895371,0.041047,0.003767,3.282373
2021-08-18,2020,BLK,BlackRock Inc,16205.000000,4090.000000,0.549900,Green,National Renewable Solutions LLC,Green,,,,2021-08-13,834.180000,2021-08-23,844.190000,1.200000,Completed,-4.799036,5.999036,0.032692,0.005450,0.438190
2021-07-27,2020,SHEL,Shell PLC,180543.000000,31526463.370000,271.738500,Brown,Inspire Energy Capital LLC,Green,,,,2021-07-23,32.940000,2021-07-30,35.330000,7.260000,Completed,1.416810,5.843190,0.354768,0.060715,5.608513
2021-07-14,2020,ORA,Ormat Technologies Inc,705.340000,140128.080000,256.441700,Brown,TG Geothermal Portfolio LLC,Green,,171.000000,,2021-07-09,68.050000,2021-07-19,64.200000,-5.660000,Completed,-9.256034,3.596034,0.000853,0.000237,5.550793
2021-07-05,2020,CHX,ChampionX Corp,1900.000000,24884.580000,13.433800,Green,Scientific Aviation Inc,Green,,,,2021-07-01,25.250000,2021-07-08,22.880000,-9.360000,Completed,-3.935410,-5.424590,-0.003466,0.000639,2.669573
2021-05-17,2020,SPRU,Spruce Power Holding Corp,20.340000,242.980000,11.947200,Green,World Energy Efficiency Services LLC,Green,,15.000000,,2021-05-13,44.800000,2021-05-20,54.080000,20.710000,Completed,-0.894900,21.604900,0.000148,0.000007,2.560880
