Announce Date,Reference_Year,Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status,Acquirer_GHG_Emissions,Annual_Sales,Carbon_Intensity,Target_Classification,Acquirer_Classification,Announce_Date_DT,status,ticker,T_minus_3_Date,T_minus_3_Price,T_plus_3_Date,T_plus_3_Price,Percent_Return
2018-06-18,2017,BTE,Baytex Energy Corp,Raging River Exploration Inc,,1492.49,6.88,Completed,1013986.086,865.591,1147.1652,Brown,Brown,2018-06-18,Success,BTE,2018-06-14,4.0,2018-06-21,3.09,-22.68
2018-06-12,2017,ENPH,Enphase Energy Inc,Microinverter business/SunPower Corp,SunPower Corp,66.37,,Completed,10150.84562,286.166,35.4719,Green,Brown,2018-06-12,Success,ENPH,2018-06-08,5.03,2018-06-15,5.69,13.12
2018-05-31,2017,IOSP,Innospec Inc,BioSuite LLC,,8.6,,Completed,363281.4026,1306.8,277.9931,Brown,Brown,2018-05-31,Success,IOSP,2018-05-25,69.03,2018-06-04,72.11,4.47
2018-05-31,2017,PPL,PPL Corp,Safari Energy LLC,,,,Completed,14529431.42,7447.0,1951.0449,Green,Brown,2018-05-31,Success,PPL,2018-05-25,19.94,2018-06-04,19.6,-1.71
2018-05-21,2017,NEE,NextEra Energy Inc,Gulf Power Co,Southern Co/The,5750.0,11.9,Completed,39293829.13,17173.0,2805.4869,Neutral,Brown,2018-05-21,Success,NEE,2018-05-17,33.02,2018-05-24,34.02,3.06
2018-05-21,2017,NEE,NextEra Energy Inc,Pivotal Utility Holdings Inc,Southern Co/The,530.0,,Completed,39293829.13,17173.0,2805.4869,Neutral,Brown,2018-05-21,Success,NEE,2018-05-17,33.02,2018-05-24,34.02,3.06
2018-05-21,2017,NEE,NextEra Energy Inc,"Southern Co-Florida LLC,Southern Co - Oleander LLC",Southern Co/The,195.0,,Completed,39293829.13,17173.0,2805.4869,Brown,Brown,2018-05-21,Success,NEE,2018-05-17,33.02,2018-05-24,34.02,3.06
2018-05-18,2017,AWK,American Water Works Co Inc,Sundale Utilities Inc,,2.0,,Completed,61576.9024,3357.0,22.0598,Brown,Green,2018-05-18,Success,AWK,2018-05-14,73.06,2018-05-21,71.16,-2.59
2018-05-17,2017,VVV,Valvoline Inc,Great Canadian Oil Change,,,,Completed,10140.3066,2084.0,4.8658,Brown,Green,2018-05-17,Success,VVV,2018-05-11,19.13,2018-05-21,19.36,1.2
2018-05-14,2017,AMRC,Ameresco Inc,JVP Engineers PC,,1.9,,Completed,17007.8228,717.152,23.7158,Neutral,Green,2018-05-14,Success,AMRC,2018-05-10,11.1,2018-05-17,11.1,0.0
2018-05-09,2017,SND,Smart Sand Inc,Quickthree Solutions Inc,,33.27,,Completed,12876.56778,137.212,93.8443,Brown,Brown,2018-05-09,Success,SND,2018-05-04,6.98,2018-05-14,6.26,-10.26
2018-05-09,2017,SEDG,SolarEdge Technologies Inc,Certain Assets,ES Australia Israel Holdings L,11.5,,Completed,21533.02657,607.045,35.4719,Neutral,Brown,2018-05-09,Success,SEDG,2018-05-04,54.6,2018-05-14,68.55,25.55
2018-05-08,2017,SHEL,Shell PLC,GI Endurant LLC,,,,Completed,36710729.2,305179.0,271.7385,Brown,Brown,2018-05-08,Success,SHEL,2018-05-04,51.21,2018-05-11,53.49,4.45
2018-05-04,2017,WEC,WEC Energy Group Inc,Forward Wind Energy Center,,173.9,,Completed,30284894.38,7648.5,4866.8609,Green,Brown,2018-05-04,Success,WEC,2018-04-30,51.44,2018-05-07,51.24,-0.39
2018-04-30,2017,MPC,Marathon Petroleum Corp,Andeavor,,29019.66,10.45,Completed,22184814.95,74733.0,183.1789,Brown,Brown,2018-04-30,Success,MPC,2018-04-26,66.04,2018-05-03,61.69,-6.6
2018-04-26,2017,CRK,Comstock Resources Inc,Certain Assets,"Arkoma Drilling LP,Williston Drilling LP",489.47,,Completed,122144.8418,255.331,478.3784,Neutral,Brown,2018-04-26,Success,CRK,2018-04-20,4.79,2018-04-30,6.57,37.23
2018-04-26,2017,NOG,Northern Oil and Gas Inc,Production Asset/ Willston Basin,Deutsche Rohstoff AG,50.3,,Completed,180735.5753,209.3197,863.4427,Brown,Brown,2018-04-26,Success,NOG,2018-04-20,15.07,2018-04-30,14.72,-2.34
2018-04-23,2017,CNP,CenterPoint Energy Inc,Vectren Corp,,8053.22,13.83,Completed,1902759.391,9614.0,196.9028,Brown,Brown,2018-04-23,Success,CNP,2018-04-19,21.73,2018-04-26,20.23,-6.93
2018-04-16,2017,MPC,Marathon Petroleum Corp,78 Express Mart Locations,Petr-All Petroleum Consulting Corp,,,Completed,22184814.95,74733.0,183.1789,Neutral,Brown,2018-04-16,Success,MPC,2018-04-12,59.13,2018-04-19,63.23,6.94
2018-04-11,2017,AWK,American Water Works Co Inc,Nicor Energy LLC,Southern Co/The,365.0,,Completed,61576.9024,3357.0,22.0598,Brown,Green,2018-04-11,Success,AWK,2018-04-06,72.0,2018-04-16,72.61,0.85
2018-04-04,2017,EXC,Exelon Corp,Everett LNG LLC,Engie SA,,,Completed,10200734.34,33586.0,751.2325,Brown,Brown,2018-04-04,Success,EXC,2018-03-29,21.82,2018-04-09,21.58,-1.08
2018-04-03,2017,SUN,Sunoco LP,Wholesale fuel distribution and terminal business,Superior Plus Corp,40.0,,Completed,18366.1874,11723.0,5.8905,Neutral,Green,2018-04-03,Success,SUN,2018-03-29,13.54,2018-04-06,14.03,3.61
2018-03-27,2017,NRG,NRG Energy Inc,XOOM Energy LLC,,210.0,,Completed,25644717.16,9074.0,6792.4745,Brown,Brown,2018-03-27,Success,NRG,2018-03-23,24.93,2018-04-02,25.39,1.85
2018-03-20,2017,NWE,Northwestern Energy Group Inc,Two Dot Wind Farm LLC,New Jersey Resources Corp,18.5,,Completed,3158489.219,1305.652,2419.0896,Green,Brown,2018-03-20,Success,NWE,2018-03-16,38.59,2018-03-23,38.3,-0.73
2018-03-19,2017,NWE,Northwestern Energy Group Inc,NorthWestern Two Dot Wind Farm,New Jersey Resources Corp,18.5,,Completed,3158489.219,1305.652,2419.0896,Green,Brown,2018-03-19,Success,NWE,2018-03-15,38.04,2018-03-22,38.81,2.03
2018-03-15,2017,SND,Smart Sand Inc,Van Hook Crude Terminal LLC,Plains All American Pipeline LP,0.02,,Completed,12876.56778,137.212,93.8443,Brown,Brown,2018-03-15,Success,SND,2018-03-09,7.39,2018-03-19,5.33,-27.91
2018-03-13,2017,TT,Trane Technologies PLC,Agilis Energy LLC,,,,Completed,364845.77,14197.6,46.6242,Neutral,Brown,2018-03-13,Success,TT,2018-03-09,62.54,2018-03-16,62.43,-0.17
2018-03-02,2017,TTE,TotalEnergies SE,Marathon Oil Libya Ltd,Marathon Oil Corp,450.0,,Completed,36255632.28,149099.0,262.2683,Brown,Brown,2018-03-02,Success,TTE,2018-02-26,38.21,2018-03-05,37.15,-2.75
2018-02-28,2017,OIS,Oil States International Inc,Falcon Flowback Services LLC,Argonaut Private Equity LLC,85.0,,Completed,10358.84946,670.627,15.7305,Brown,Green,2018-02-28,Success,OIS,2018-02-23,26.4,2018-03-05,25.35,-3.98
2018-02-21,2017,PTEN,Patterson-UTI Energy Inc,Superior QC LLC,,,,Completed,200653.7296,2356.684,105.9872,Brown,Brown,2018-02-21,Success,PTEN,2018-02-16,15.78,2018-02-26,17.27,9.45
2018-02-14,2017,TTI,TETRA Technologies Inc,SwiftWater Energy Services LLC,,70.32,,Completed,16848.48082,723.098,23.3004,Neutral,Green,2018-02-14,Success,TTI,2018-02-09,3.5,2018-02-20,3.74,6.86
2018-02-08,2017,PR,Permian Resources Corp,4000 net acres/Lea County,OneEnergy Partners LLC,95.0,,Completed,205655.845,429.235,369.5357,Neutral,Brown,2018-02-08,Success,PR,2018-02-02,17.89,2018-02-12,17.0,-4.99
2018-02-08,2017,PEG,Public Service Enterprise Group Inc,solar energy facility/7 MW,BayWa r.e. GmbH,10.0,,Completed,12074297.04,9094.0,1500.3621,Green,Brown,2018-02-08,Success,PEG,2018-02-02,39.1,2018-02-12,37.21,-4.84
2018-01-24,2017,ORA,Ormat Technologies Inc,US Geothermal Inc,,198.78,15.54,Completed,173848.0973,692.812,256.4417,Green,Brown,2018-01-24,Success,ORA,2018-01-19,63.35,2018-01-29,66.44,4.88
2018-01-24,2017,WKC,World Kinect Corp,Portfolio of 43 stores/Western Convenience,Western Convenience Stores Inc,,,Completed,692985.07,33695.5,20.1849,Neutral,Green,2018-01-24,Success,WKC,2018-01-19,24.93,2018-01-29,24.57,-1.42
2018-01-03,2017,D,Dominion Energy Inc,SCANA Corp,,14504.33,27.57,Completed,30334871.76,12586.0,2673.0816,Brown,Brown,2018-01-03,Success,D,2017-12-29,58.8,2018-01-08,56.6,-3.75
