Announce Date,Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status,Company Name
24-08-2021,NVEE,NV5 Global Inc,Sage Renewable Energy Consulting Inc,,,,Completed,NV5 Global Inc
18-08-2021,BLK,BlackRock Inc,National Renewable Solutions LLC,,,,Completed,BlackRock Inc
17-08-2021,WTTR,Select Water Solutions Inc,Agua Libre Midstream LLC,Basic Energy Services Inc,19.54,,Completed,Select Water Solutions Inc
17-08-2021,BRY,Berry Corp,C&J Well Services Inc,Basic Energy Services Inc,,,Completed,Berry Corp
11-08-2021,EXE,Expand Energy Corp,Vine Energy Inc,,1459.77,,Completed,Expand Energy Corp
10-08-2021,CLSK,Cleanspark Inc,87000 sq ft data center/Norcross,,,,Completed,Cleanspark Inc
09-08-2021,VNOM,Viper Energy Inc,Certain mineral & royalty interests/Swallowtail Royalties LLC,Swallowtail Royalties LLC,488.16,,Completed,Viper Energy Inc
09-08-2021,A82.MU,Aurora Solar Technologies Inc,Folsom Labs LLC,,,,Completed,Aurora Solar Technologies Inc
04-08-2021,RZREF,Razor Energy Corp,South Swan Hills Unit Gas Gathering System/Canada,,3.98,,Completed,Razor Energy Corp
03-08-2021,DINO,HF Sinclair Corp,"Marketing & diesel business,2 refineries/Rocky Mountain",Sinclair Cos/The,1783.29,,Completed,HF Sinclair Corp
03-08-2021,CH.V,Charbone Hydrogen Corp,CHARBONE Corp,,4.78,,Completed,Charbone Hydrogen Corp
03-08-2021,ANRGF,Anaergia Inc,Rhode Island Bioenergy Facility LLC,,,,Completed,Anaergia Inc
03-08-2021,REP.MU,Repsol SA,St John LNG LP,Irving Oil Ltd,,,Completed,Repsol SA
02-08-2021,SUN,Sunoco LP,Portfolio of 8 terminal locations/NuStar Energy LP,NuStar Energy LP,250,,Completed,Sunoco LP
02-08-2021,GILXF,Rev Exploration Corp,2 gold properties & 1 copper property/Quebec,,,,Completed,Rev Exploration Corp
30-07-2021,PPP.V,Prospector Metals Corp,Fairbanks claim,,0.18,,Completed,Prospector Metals Corp
