institutionid,periodenddate,GHG_Emissions,Ticker
4010561,31-12-2022,4591341.386,DVN
4010561,31-12-2023,4373825.958,DVN
4010641,31-12-2013,2581635.105,HAL
4010641,31-12-2014,8524423.949,HAL
4010641,31-12-2015,3210370.893,HAL
4010641,31-12-2016,1770697.97,HAL
4010641,31-12-2017,1859703.128,HAL
4010641,31-12-2018,1041597.395,HAL
4010641,31-12-2019,4514914.59,HAL
4010641,31-12-2020,3143682.951,HAL
4010641,31-12-2021,3505746.918,HAL
4010641,31-12-2022,3323228.638,HAL
4010641,31-12-2023,3446245.522,HAL
4010647,31-12-2013,3979503.883,DINO
4010647,31-12-2014,3013420.874,DINO
4010647,31-12-2015,2127509.317,DINO
4010647,31-12-2016,2816936.28,DINO
4010647,31-12-2017,4811946.36,DINO
4010647,31-12-2018,4795832.561,DINO
4010647,31-12-2019,5443000,DINO
4010647,31-12-2020,5479000,DINO
4010647,31-12-2021,4735000,DINO
4010647,31-12-2022,8525000,DINO
4010647,31-12-2023,8367000,DINO
4010692,31-12-2013,2312001.597,MDU
4010692,31-12-2014,2965380.994,MDU
4010692,31-12-2015,2205069.255,MDU
4010692,31-12-2016,2454175.501,MDU
4010692,31-12-2017,2451829.227,MDU
4010692,31-12-2018,2683266.049,MDU
4010692,31-12-2019,2528856.536,MDU
4010692,31-12-2020,2449990.469,MDU
4010692,31-12-2021,2386726.355,MDU
4010692,31-12-2022,1937885.154,MDU
4010692,31-12-2023,2017525.302,MDU
4010705,31-12-2013,592154.5803,NBR
4010705,31-12-2014,625122.49,NBR
4010705,31-12-2015,431839.9571,NBR
4010705,31-12-2016,237228.7389,NBR
4010705,31-12-2017,295400.8872,NBR
4010705,31-12-2018,326533.6112,NBR
4010705,31-12-2019,318699.1814,NBR
4010705,31-12-2020,1085215,NBR
4010705,31-12-2021,1012222.991,NBR
4010705,31-12-2022,1196907.729,NBR
4010705,31-12-2023,1076658.2,NBR
4010821,30-09-2013,396777.7998,NFG
4010821,30-09-2014,475751.9245,NFG
4010821,30-09-2015,378059.7676,NFG
4010821,30-09-2016,428723.8335,NFG
4010821,30-09-2017,483672.0595,NFG
4010821,30-09-2018,425521.4434,NFG
4010821,30-09-2019,9219257.46,NFG
4010821,30-09-2020,1968846,NFG
4010821,30-09-2021,1997680,NFG
4010821,30-09-2022,1722852,NFG
4010841,31-12-2013,12526661.38,OXY
4010841,31-12-2014,10366045.85,OXY
4010841,31-12-2015,9278730.312,OXY
4010841,31-12-2016,10463554.07,OXY
4010841,31-12-2017,5778729.776,OXY
4010841,31-12-2018,10369999.94,OXY
4010841,31-12-2019,22430196.14,OXY
4010841,31-12-2020,18526102.86,OXY
4010841,31-12-2021,18413374.89,OXY
4010841,31-12-2022,17551718.18,OXY
4010841,31-12-2023,17264361.97,OXY
4010843,31-12-2013,58631.11814,OII
4010843,31-12-2014,60442.93278,OII
4010843,31-12-2015,50457.66,OII
4010843,31-12-2016,39122.06474,OII
4010843,31-12-2017,31885.76334,OII
4010843,31-12-2018,31331.58491,OII
4010843,31-12-2019,28112.353,OII
4010843,31-12-2020,40200.846,OII
4010843,31-12-2021,45455.554,OII
4010843,31-12-2022,43590,OII
4010843,31-12-2023,44690,OII
4010845,31-03-2016,1974258.37,VTOL
4010845,31-03-2017,1645183.442,VTOL
4010845,31-03-2018,1660529.848,VTOL
4010845,31-03-2019,1486894.205,VTOL
4010845,31-03-2020,1315016.305,VTOL
4010845,31-03-2021,1385860.773,VTOL
4010845,31-03-2022,1319056.556,VTOL
4010845,31-12-2023,212976,VTOL
4010846,31-12-2013,1699999.858,OKE
4010846,31-12-2014,1900000.035,OKE
4010846,31-12-2015,1899999.85,OKE
4010846,31-12-2016,2500000.047,OKE
4010846,31-12-2017,2899999.864,OKE
4010846,31-12-2018,3199999.961,OKE
4010846,31-12-2019,4205203.33,OKE
4010846,31-12-2020,3800009,OKE
4010846,31-12-2021,3801000,OKE
4010846,31-12-2022,3702000,OKE
4010846,31-12-2023,3994126.195,OKE
4010856,30-09-2016,13734.633,PHX
4010856,30-09-2017,19137.847,PHX
4010856,30-09-2018,19983.477,PHX
4010856,30-09-2019,13985.756,PHX
4010856,30-09-2020,9445.626,PHX
4010856,30-09-2021,19814.221,PHX
4010856,30-09-2022,19445.343,PHX
4010856,31-12-2023,7890.701,PHX
4010869,31-12-2013,287864.7455,PTEN
4010869,31-12-2014,303577.014,PTEN
