Announce Date,Reference_Year,Ticker,Acquirer Name,Annual_Sales,Acquirer_GHG_Emissions,Carbon_Intensity,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,Deal Status
28-02-2023,2022,REPX,Riley Exploration Permian Inc,321.743,46928.065430619994,145.8557464517332,Oil & gas assets/Pecos Oil & Gas LLC,Pecos Oil & Gas LLC,330.0,,Completed
16-02-2023,2022,DNOW,DNOW Inc,2136.0,19243.0,9.008895131086142,EcoVapor Recovery Systems LLC,,,,Completed
15-02-2023,2022,VTLE,Vital Energy Inc,1920.796,386367.84,201.14985662194215,Driftwood Energy Operating LLC,,212.94,,Completed
06-02-2023,2022,GLNG,Golar LNG Ltd,267.74,777147.646,2902.620624486442,2.4 MTPA floating liquefaction facility,New Fortress Energy Inc,193.72,,Completed
24-01-2023,2022,MTDR,Matador Resources Co,3039.216,973869.0,320.434283051945,Advance Energy Partners Holdings LLC,EnCap Investments LP,1600.0,,Completed
18-01-2023,2022,SHEL,Shell PLC,381314.0,41006166.5175,107.5391056124349,Volta Inc,,149.16,,Completed
18-01-2023,2022,DUK,Duke Energy Corp,28768.0,78800000.0,2739.154616240267,Pike Engineering LLC,,,,Completed
05-01-2023,2022,PSX,Phillips 66,169990.0,27764607.2,163.330826519207,DCP Midstream LP,,3783.87,7.47,Completed
04-01-2023,2022,HASI,HA Sustainable Infrastructure,239.737,0.0,0.0,Portfolio of 1.3 GW renewables/US,AES Corp/The,,,Completed
03-01-2023,2022,TRGP,Targa Resources Corp,20929.8,8434072.294,402.96955986201493,Grand Prix NGL Pipeline,Blackstone Inc,1050.0,,Completed
03-01-2023,2022,AMPS,Altus Power Inc,101.163,440.413,4.35349880885304,220 mw solar assets/True Green Capital Management LLC,True Green Capital Management LLC,293.0,,Completed
03-01-2023,2022,SHEL,Shell PLC,381314.0,41006166.5175,107.5391056124349,TF Hudgins Inc,CapStreet Group LLC/The,,,Completed
21-12-2022,2021,AM,Antero Midstream Corp,898.202,850474.9895,946.8638340818658,Certain compression assets/Utica,EnLink Midstream LLC,10.0,,Completed
19-12-2022,2021,LINK,Interlink Electronics Inc,7.478,1280.43,171.2262637068735,"KWJ Engineering Inc,Spec Sensors LLC",,2.0,,Completed
17-12-2022,2021,CPK,Chesapeake Utilities Corp,569.968,221805.0,389.15342615725797,Propane operating assets/Hernando Gas LLC,Hernando Gas LLC,,,Completed
06-12-2022,2021,NRG,NRG Energy Inc,26989.0,18279398.4,677.2906887991403,Vivint Smart Home Inc,,5017.07,9.53,Completed
28-11-2022,2021,PATK,Patrick Industries Inc,4078.092,62251.641,15.264893729714778,Transhield Inc,Ancor Holdings LP,,,Completed
18-11-2022,2021,CVX,Chevron Corp,155606.0,28582001.8155,183.68187483451794,Beyond6 LLC,,,,Completed
18-11-2022,2021,CVX,Chevron Corp,155606.0,28582001.8155,183.68187483451794,Beyond6 LLC,"Mercuria Energy Trading Inc,Unknown Seller",,,Completed
16-11-2022,2021,FANG,Diamondback Energy Inc,5567.0,1253208.511,225.1137975570325,Lario Permian LLC,Lario Oil & Gas Co,1494.76,,Completed
15-11-2022,2021,CMC,Commercial Metals Co,6729.76,49.5186227,0.007358155818335275,Metals recycling facility & related assets/Galveston,"Kodiak Properties LLC,Kodiak Resources Inc",,,Completed
11-11-2022,2021,AIV,Apartment Investment and Management Co,172.113,2054.295,11.935734081678897,Howard Energy Partners,,,,Completed
07-11-2022,2021,CPK,Chesapeake Utilities Corp,569.968,221805.0,389.15342615725797,Planet Found Energy Development LLC,,9.4,,Completed
06-11-2022,2021,KMI,Kinder Morgan Inc,16610.0,14100000.0,848.8862131246237,STX Midstream pipeline/NextEra Energy Partners LP,XPLR Infrastructure LP,1831.0,,Completed
02-11-2022,2021,PUMP,ProPetro Holding Corp,874.514,14877.679,17.012510948938495,Silvertip Completion Services,,136.16,,Completed
02-11-2022,2021,CEG,Constellation Energy Corp,19649.0,11387377.59,579.5398030434119,Rebate Business/Bill Identity Ltd,Optima Technology Group Ltd,2.8,,Completed
02-11-2022,2021,WTTR,Select Water Solutions Inc,764.62,335852.059,439.24048416206745,"Breakwater Energy Partners LLC,Breakwater & water pipeline assets/Cypress Environmental Services LLC",Cypress Environmental Partners,,,Completed
27-10-2022,2021,ARIS,Aris Water Solution Inc,229.251,19451.6690475,84.84878603582972,Intellectual property rights and related proprietary treatment technologies,Water Standard Management US Inc,,,Completed
26-10-2022,2021,BH,Biglari Holdings Inc,366.106,6418.043,17.530559455458256,Abraxas Petroleum Corp,,54.9,1.2,Completed
26-10-2022,2021,PROP,Prairie Operating Co,0.8076,301.2594448,373.03051609707774,Prairie Operating Co LLC,,28.2,,Completed
26-10-2022,2021,NOA,North American Construction Group Ltd,654.143,10842.84,16.57564171748379,ML Northern Services Ltd,,11.06,,Completed
18-10-2022,2021,D,Dominion Energy Inc,13964.0,15471297.199550001,1107.9416499248068,Energy Storage Project/East Point Energy,East Point Energy LLC,,,Completed
12-10-2022,2021,FANG,Diamondback Energy Inc,5567.0,1253208.511,225.1137975570325,Firebird Energy LLC,,1555.05,,Completed
11-10-2022,2021,NOG,Northern Oil and Gas Inc,496.899,342025.4175,688.3197943646495,Non operated interests/Northern Delaware Basin,,130.0,,Completed
01-10-2022,2021,NOA,North American Construction Group Ltd,654.143,10842.84,16.57564171748379,ML Northern Services Ltd,,,,Completed
30-09-2022,2021,NOG,Northern Oil and Gas Inc,496.899,342025.4175,688.3197943646495,Non operated interests/Delaware Basin,Alpha Energy Partners LLC,157.5,,Completed
29-09-2022,2021,DTM,DT Midstream Inc,840.0,39311.388451209,46.799271965725,Millennium Pipeline Co LLC,National Grid PLC,552.0,,Completed
29-09-2022,2021,DTM,DT Midstream Inc,840.0,39311.388451209,46.799271965725,Millennium Pipeline/US,National Grid PLC,552.0,,Completed
29-09-2022,2021,BN,Brookfield Corp,75731.0,778802.7825,10.28380428754407,Standard Solar Inc,Energir Inc,530.0,,Completed
29-09-2022,2021,ENB,Enbridge Inc,47071.0,7431128.0,157.87062097682224,Tri Global Energy LLC,"Altius Minerals Corp,Unknown Seller",270.0,,Completed
23-09-2022,2021,ETR,Entergy Corp,11742.896,35663689.0,3037.0437582007025,475 MW Solar Gnerating capacity/US,,,,Completed
22-09-2022,2021,TALO,Talos Energy Inc,1212.503,1143630.466,943.1980506439985,Enven Energy Corp,,1108.47,,Completed
13-09-2022,2021,AM,Antero Midstream Corp,898.202,850474.9895,946.8638340818658,Marcellus natural gas gathering & compression assets/West Virginia,Crestwood Equity Partners LP,205.0,,Completed
12-09-2022,2021,ARKO,Arko Corp,7417.398,79943.638,10.777854714011571,Transit Energy Group LLC,,370.0,,Completed
