Ticker,Acquirer Name,Announce Date,Market_Cap_mil,Debt_to_Equity,ROA_percent,Status
TOH.V,Total Helium Ltd,21-03-2023,53.24,,-0.6,Success
JAMGF,Tuktu Resources Ltd,21-03-2023,17.28,,-12.9,Success
WDGRF,Wedgemount Resources Corp,21-03-2023,,,-8.62,Success
TGEN,Tecogen Inc,20-03-2023,21.62,,-3.39,Success
EFXT,Enerflex Ltd,20-03-2023,675.33,,1.02,Success
TAC,TransAlta Corp,16-03-2023,2348.93,,-0.41,Success
LRSV,Link Reservations Inc,14-03-2023,10.57,,-10.5,Success
RELIANCE.NS,Reliance Industries Ltd,09-03-2023,14582799.28,,1.02,Success
KLXE,KLX Energy Services Holdings Inc,08-03-2023,228.79,,-1.68,Success
VST,Vistra Corp,06-03-2023,7985.75,,4.98,Success
EQNR,Equinor ASA,03-03-2023,69298.09,,1.69,Success
PLUG,Plug Power Inc,02-03-2023,12451.91,,-4.47,Success
PLUG,Plug Power Inc,02-03-2023,12451.91,,-4.47,Success
MATR.TO,Mattr Corp,02-03-2023,921.82,,0.96,Success
BTE,Baytex Energy Corp,28-02-2023,,,2.43,Success
REPX,Riley Exploration Permian Inc,28-02-2023,598.36,,2.57,Success
NCLR.CN,Basin Uranium Corp,28-02-2023,10.57,,-4.95,Success
FTXP,Foothills Exploration Inc,24-02-2023,2.77,,,Success
6501.T,Hitachi Ltd,22-02-2023,6006502.2,,1.18,Success
VLE.TO,Valeura Energy Inc,21-02-2023,232.5,,-0.58,Success
ANTIN.PA,Antin Infrastructure Partners SA,17-02-2023,3283.29,,,Success
BP,BP PLC,16-02-2023,96430.81,,-0.69,Success
DNOW,DNOW Inc,16-02-2023,1455.31,,1.42,Success
VTLE,Vital Energy Inc,15-02-2023,2107.74,,-6.11,Success
PCQRF,Petrolympic Ltd,15-02-2023,6.94,,-101.2,Success
FTXP,Foothills Exploration Inc,13-02-2023,2.77,,,Success
DEC,Diversified Energy Co PLC,08-02-2023,,,,Success
GLNG,Golar LNG Ltd,06-02-2023,2242.52,,-0.8,Success
IPCO.TO,International Petroleum Corp,06-02-2023,1593.51,,0.02,Success
PRIZ.CN,Prismo Metals Inc,29-01-2023,,,-7.94,Success
MTDR,Matador Resources Co,24-01-2023,7689.26,,1.98,Success
CEIN,Camber Energy Inc,24-01-2023,531.13,,-72.64,Success
BWPC,Blue Water Petroleum Corp,23-01-2023,520.54,,,Success
PPP.V,Prospector Metals Corp,20-01-2023,35.5,,-8.06,Success
PPP.V,Prospector Metals Corp,19-01-2023,33.81,,-8.06,Success
SHEL,Shell PLC,18-01-2023,160284.78,,1.09,Success
2222.SR,Saudi Arabian Oil Co,18-01-2023,6602958.45,,3.99,Success
ORSTED.CO,Orsted AS,18-01-2023,282807.93,,-2.06,Success
CVV.V,CanAlaska Uranium Ltd,18-01-2023,80.65,,-5.94,Success
DUK,Duke Energy Corp,18-01-2023,72389.96,,0.65,Success
FE0.F,Stallion Uranium Corp,11-01-2023,23.05,,-2.03,Success
PSX,Phillips 66,05-01-2023,38746.02,,0.01,Success
0AAZ.IL,EQT AB,05-01-2023,271951.53,,,Success
OPCE.TA,OPC Energy Ltd,04-01-2023,950003.49,,0.6,Success
MIS.CN,Mistango River Resources Inc,04-01-2023,7.13,,-11.93,Success
MERG.V,Metal Energy Corp,04-01-2023,5.33,,-14.23,Success
HASI,HA Sustainable Infrastructure,04-01-2023,3154.02,,0.99,Success
TRGP,Targa Resources Corp,03-01-2023,14663.82,,1.54,Success
AMPS,Altus Power Inc,03-01-2023,992.0,,0.79,Success
SHEL,Shell PLC,03-01-2023,153669.15,,1.09,Success
BLX.TO,Boralex Inc,29-12-2022,4017.33,,-0.21,Success
E,Eni SpA,29-12-2022,38635.63,,0.37,Success
ACDC,ProFrac Holding Corp,27-12-2022,4006.88,,-1.44,Success
ACDC,ProFrac Holding Corp,27-12-2022,4006.88,,-1.44,Success
P4F.F,Seadrill Ltd,22-12-2022,1707.0,,2.43,Success
SPB.TO,Superior Plus Corp,22-12-2022,2099.67,,-0.02,Success
AM,Antero Midstream Corp,21-12-2022,4407.63,,1.93,Success
VD5N.SG,Zephyr Energy PLC,21-12-2022,,,,Success
LINK,Interlink Electronics Inc,19-12-2022,59.35,,-3.7,Success
CPK,Chesapeake Utilities Corp,17-12-2022,,,1.02,Success
MGUY,Mogul Energy International Inc,17-12-2022,,,,Success
KEY.TO,Keyera Corp,15-12-2022,5869.01,,1.02,Success
INE.TO,Innergex Renewable Energy Inc,15-12-2022,3095.53,,0.31,Success
LOMEF,Lithium One Metals Inc,15-12-2022,,,-0.98,Success
NPWR,Net Power Inc,14-12-2022,764.52,,0.04,Success
SIE.V,Sienna Resources Inc,14-12-2022,10.13,,-22.54,Success
INSO,Industry Source Consulting Inc,14-12-2022,2.12,,,Success
JAMGF,Tuktu Resources Ltd,08-12-2022,32.29,,-12.9,Success
NIX.CN,NorthX Nickel Corp,07-12-2022,70.13,,-418.81,Success
NRG,NRG Energy Inc,06-12-2022,6428.81,,2.68,Success
MKGP,Maverick Energy Group Ltd,06-12-2022,21.2,,,Success
MATR.TO,Mattr Corp,06-12-2022,822.69,,0.96,Success
ACDC,ProFrac Holding Corp,05-12-2022,3664.16,,-1.44,Success
HSTXF,Heliostar Metals Ltd,05-12-2022,38.9,,-17.8,Success
DKILY,Daikin Industries Ltd,02-12-2022,48692.14,,1.36,Success
XTRM,Extreme Biodiesel Inc,01-12-2022,1.48,,,Success
0IUS.L,Genie Energy Ltd,30-11-2022,,,,Success
HDID.XD,Home Depot Inc/The,30-11-2022,,,,Success
PATK,Patrick Industries Inc,28-11-2022,1150.81,,0.48,Success
POW.AQ,Power Metal Resources PLC,25-11-2022,,,,Success
VZLA,Vizsla Silver Corp,24-11-2022,,,-1.51,Success
SIRC,Solar Integrated Roofing Corp,21-11-2022,246948.74,,,Success
SIRC,Solar Integrated Roofing Corp,21-11-2022,246948.74,,,Success
CVX,Chevron Corp,18-11-2022,293928.9,,1.26,Success
CVX,Chevron Corp,18-11-2022,293928.9,,1.26,Success
NESTE.HE,Neste Oyj,17-11-2022,31944.54,,-0.87,Success
LNGNF,LNG Energy Group Corp,17-11-2022,,,,Success
FANG,Diamondback Energy Inc,16-11-2022,41741.1,,1.6,Success
ZLSCF,ZYUS Life Sciences Corp,15-11-2022,,,-11.53,Success
CMC,Commercial Metals Co,15-11-2022,5202.73,,-2.59,Success
ELIQQ,Electriq Power Holdings Inc,14-11-2022,,,-52.92,Success
AMPS,Altus Power Inc,14-11-2022,1139.2,,0.79,Success
AMPS,Altus Power Inc,14-11-2022,1139.2,,0.79,Success
AMPS,Altus Power Inc,14-11-2022,1139.2,,0.79,Success
AIV,Apartment Investment and Management Co,11-11-2022,1025.58,,-0.5,Success
KNTK,Kinetik Holdings Inc,09-11-2022,1704.54,,1.22,Success
G4P0.F,Lycos Energy Inc,07-11-2022,,,1.24,Success
CPK,Chesapeake Utilities Corp,07-11-2022,2331.36,,1.02,Success
PHX.TO,PHX Energy Services Corp,07-11-2022,320.35,,3.33,Success
KMI,Kinder Morgan Inc,06-11-2022,,,0.93,Success
KRP,Kimbell Royalty Partners LP,04-11-2022,1334.32,,-2.9,Success
ZPTAF,Surge Energy Inc,03-11-2022,628.87,,1.3,Success
SOC,Sable Offshore Corp,02-11-2022,885.65,,-17.35,Success
PUMP,ProPetro Holding Corp,02-11-2022,1119.38,,-1.39,Success
CEG,Constellation Energy Corp,02-11-2022,28530.43,,1.61,Success
WTTR,Select Water Solutions Inc,02-11-2022,887.92,,-0.12,Success
ACX.TO,ACT Energy Technologies Ltd,27-10-2022,217.28,,5.91,Success
ARIS,Aris Water Solution Inc,27-10-2022,464.35,,0.53,Success
BH,Biglari Holdings Inc,26-10-2022,278.58,,3.71,Success
PROP,Prairie Operating Co,26-10-2022,135.1,,-10.66,Success
NOA,North American Construction Group Ltd,26-10-2022,298.68,,0.82,Success
