Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status,Target_Classification,Acquirer_Classification,Carbon_Intensity
2017-06-26,2016,ALTO,Alto Ingredients Inc,Illinois Corn Processing LLC,,76.0,,2017-06-15,6.0,2017-07-06,6.35,475.21,-0.58,300372.7,Completed,Neutral,Brown,632.0841
2017-06-19,2016,EQT,EQT Corp,EQT RE Merger Sub Inc,,6456.71,11.19,2017-06-08,27.8,2017-06-29,29.89,16193.57,1.05,296670.93,Completed,Neutral,Brown,18.3203
2017-06-19,2016,OXY,Occidental Petroleum Corp,Enhanced Oil Recovery Assets in Permian Basin,Hess Corp,600.0,,2017-06-08,47.9,2017-06-29,48.87,47578.81,-0.15,10463554.07,Completed,Brown,Brown,219.9205
2017-06-13,2016,KEX,Kirby Corp,Stewart & Stevenson LLC,Parman Capital Group LLC,756.5,,2017-06-02,68.05,2017-06-23,64.75,4024.53,0.73,1044237.22,Completed,Neutral,Brown,259.4681
2017-06-05,2016,USDP,USD Partners LP,Crude oil terminal/Stroud,,,,2017-05-25,7.3,2017-06-15,5.8,222.9,-2.68,3709.09,Completed,Brown,Brown,16.6402
2017-05-30,2016,SHEL,Shell PLC,"Chevron Block 6,Chevron Block 5a,Chevron Block 5e",Chevron Corp,250.0,,2017-05-19,38.86,2017-06-09,37.73,114737.23,1.09,35213155.0,Completed,Neutral,Brown,306.9026
2017-05-25,2016,DTE,DTE Energy Co,Gas to energy project,Fort Bend Power Producers LLC,,,2017-05-12,69.42,2017-06-05,72.57,14872.05,0.6,15885817.35,Completed,Brown,Brown,1068.1659
2017-05-22,2016,LHX,L3 Technologies Inc,Open Water Power Inc,,,,2017-05-11,94.19,2017-06-01,98.45,17668.33,1.08,65563.61,Completed,Neutral,Green,3.7108
2017-05-11,2016,CLH,Clean Harbors Inc,Lonestar West Inc,,32.75,,2017-04-28,58.11,2017-05-22,58.4,3192.63,1.14,1027962.36,Completed,Neutral,Brown,321.9798
2017-05-08,2016,ESE,ESCO Technologies Inc,NRG Systems Inc,,38.6,,2017-04-27,58.48,2017-05-18,54.21,1439.1,1.31,11583.88,Completed,Neutral,Green,8.0494
